,work_roll_diam_1,work_roll_diam_2,work_roll_diam_3,work_roll_diam_4,work_roll_mileage_1,work_roll_mileage_2,work_roll_mileage_3,work_roll_mileage_4,reduction_1,reduction_2,reduction_3,reduction_4,tension_1,tension_2,tension_3,tension_4,tension_5,roll_speed_1,roll_speed_2,roll_speed_3,roll_speed_4,force_1,force_2,force_3,force_4,torque_1,torque_2,torque_3,torque_4,gap_1,gap_2,gap_3,gap_4,current_1,current_2,current_3,current_4
9100,8.321367204205203e-09,-9.724598688381223e-08,1.4219017854581234e-06,5.180359585210703e-07,6.134476279839621e-07,-3.6797350427758443e-07,-2.2268252602463813e-07,-5.919059428074431e-08,6.53322786092975e-08,-6.528571248063178e-09,-8.799019269644275e-08,-1.5432674748199347e-07,4.323626247541252e-08,3.298744559288314e-08,-1.4794447148839633e-09,-2.0446508036305145e-07,-3.431535636373717e-09,-1.322068662072518e-07,3.667014728610967e-07,6.118300370871746e-07,5.473167402669831e-07,1.1875022513172554e-07,-2.1431071218101796e-07,-2.551105959961956e-07,-2.7329466926551225e-08,-1.5760965955755277e-07,8.273753337559844e-08,1.1883268598470436e-07,1.1097209062427115e-06,9.896408300845586e-08,7.266450362896556e-09,-5.254793601769045e-09,3.506138455125962e-08,-2.3102465396127774e-07,4.0984984176883205e-08,1.0482501238585674e-07,1.6987343163543507e-07
9101,5.189601021503316e-09,-4.787250266720996e-08,5.798831504459761e-07,2.3981323465706506e-07,3.7913928584508715e-07,-1.285681112979596e-07,3.593158908187259e-08,-2.8284072565535705e-08,1.6742463533903536e-09,-4.167474495850541e-09,-2.2516663496638764e-08,-4.795806792875565e-08,4.971322293077813e-09,-2.7257677478105737e-08,7.78042400833313e-11,9.531679097559125e-08,5.183392204315361e-09,-3.0071047755535783e-08,2.0860539128383796e-07,3.150930084909096e-07,3.16203998712207e-07,4.258511277533515e-08,8.224199215572387e-08,-4.270618471009371e-08,-6.861325042922921e-09,6.537108371635631e-09,-4.215573426338652e-08,-1.7951242625662753e-08,-4.337225497389768e-07,-3.417061331369009e-08,2.294759421298829e-08,-2.376036718559297e-09,4.275139266003515e-08,-2.9654280903422824e-08,-5.771483605105949e-08,6.688642315557144e-09,-1.3287256782252137e-07
9102,3.6364266027992414e-09,-4.6578158313995404e-08,5.376571789383462e-07,2.452187861005552e-07,3.5843850734333703e-07,-6.297215198478121e-08,-6.359924251836142e-08,-3.888446372000267e-08,-1.945843299233337e-08,-1.5335778394980706e-09,5.72342347974593e-08,1.7816647111127556e-07,1.8941937014474296e-08,-3.1852396205088594e-08,-4.135266256845005e-09,1.9014890616148174e-08,-4.052611378279937e-09,-4.445202648641558e-08,1.1830493652573391e-07,2.642134980608651e-07,4.5913582046829715e-07,4.6608232272184625e-08,-8.111334561055896e-08,-1.1324106405208341e-08,4.121975507583942e-08,-1.8822611309576392e-08,1.1171970982104974e-07,-1.5344897595510686e-08,-7.261394057422776e-07,2.369827901335201e-09,3.98218010861295e-09,2.6024645194389594e-09,8.432543836540528e-09,-5.048505651451384e-08,5.0965075691517904e-08,-2.2669555619356848e-08,-3.1431205570696917e-07
9103,3.331030408571719e-09,-4.779547452921865e-08,4.664668813347549e-07,2.131195894131624e-07,3.032203918943506e-07,-6.125366780903735e-08,3.5424406329714136e-08,-6.36180629953489e-08,-2.6705868852638117e-08,2.4204685663725633e-09,-1.4414254110304333e-07,2.7779121107109566e-07,-1.941788165519707e-08,-1.899665221573874e-08,5.182034025627211e-09,1.7488297695948153e-08,1.3960137342630106e-09,-3.2898387871652286e-08,2.4821628661204865e-07,2.3577575727053735e-07,5.504830429951292e-07,2.703881667308411e-08,1.623625090965827e-08,-7.396835523348505e-08,3.5433913581073284e-08,-1.5956660111752428e-08,-9.986960018674967e-08,6.05631309248533e-09,-5.362427327781959e-07,-4.553391287725623e-08,5.213854213550594e-09,-8.340769757843024e-09,4.404515493661743e-08,-4.4307865512874276e-08,-1.3302371371534268e-07,1.6693181047843446e-08,-2.5660478665178577e-07
9104,8.10308847576163e-09,-6.142693261305347e-08,9.663895859072576e-07,3.4144710904606004e-07,5.826175523301124e-07,-3.469506433859777e-08,5.333373944016682e-09,-1.1879213464756806e-07,2.2869595947390988e-08,-3.791841057451933e-09,-9.762996342030546e-08,-1.9654883847881988e-07,-1.1703853184978384e-07,-2.9798635902514244e-08,8.15489329397317e-09,-8.255204496288302e-08,1.6125462328820707e-09,-6.816020080199206e-08,2.6326219085605183e-07,5.372208155070814e-07,5.011557368561828e-07,1.1758684801560244e-07,-5.25133994718306e-08,-1.3093211843322517e-07,-6.338969493907655e-08,-1.6326744419835264e-07,-3.5604462027532396e-08,5.220218251149727e-08,5.074177170172399e-07,-1.3307435438061494e-08,-7.3904326806538065e-09,-9.72261962797789e-10,-5.053666730721141e-08,-1.1788972187782307e-07,-1.5558636126423173e-07,1.3023129819586098e-07,6.990352024636125e-08
9105,7.579413553090534e-09,-6.262271199376837e-08,8.149367446700826e-07,2.9665573189653264e-07,4.787122209867319e-07,4.486704710870403e-08,-2.5087695879218424e-08,-1.2314335132639987e-07,3.7323140228790224e-08,-1.1342344805563565e-08,-9.943478895968703e-08,-2.8229745415389557e-08,1.2465558635704812e-08,4.384201019983572e-09,5.9111819912657446e-09,-5.27390511706363e-08,2.1049830441716966e-09,-8.243174913028876e-08,2.980697900056911e-07,4.4907074576865867e-07,5.429645534604549e-07,8.643430192025395e-08,-2.0537952271601793e-07,-1.1569044242301927e-07,-1.968874130399842e-08,-9.128785071278054e-08,1.5836403084297108e-07,1.2969520563881398e-07,-5.107993880908851e-08,2.539658453320339e-08,-6.27160382767222e-08,-1.8936504299414507e-08,-1.4469066324305883e-08,-1.1043235038716937e-07,4.7986977733662267e-08,5.070391731955354e-08,-2.0325455504157614e-07
9106,3.48780304191256e-09,-4.9260949405560726e-08,5.931934962670001e-07,2.3497404375428903e-07,3.167821948105924e-07,2.5910558179055576e-08,2.3802664751812908e-08,-9.859310618286238e-08,-4.207948222754145e-08,-6.6174349437077805e-09,-2.986576873810039e-08,1.454209753622691e-07,-4.867693254101529e-08,-9.908787130068107e-08,-1.6337532239660713e-08,-2.2591557353741475e-08,-5.097050840388526e-10,-2.456421498211551e-08,1.444578325996941e-07,2.9448497419558945e-07,4.353851545602098e-07,3.178681557383106e-08,4.6098527188254195e-09,-5.476933438334575e-08,1.5813275240321213e-08,-6.739671031604378e-09,-5.9399171732387044e-08,-2.8863238791653617e-08,-3.1670904718340457e-07,-5.168917899330529e-08,1.4920175696403325e-08,2.773206991448183e-09,1.4627003110929323e-08,-3.130893067767945e-08,-1.3188458979132103e-07,-2.2623377540183115e-10,-2.24048077749684e-07
9107,5.7602301239764965e-09,-6.826206420860869e-08,1.1754744142914856e-06,3.6000409939634476e-07,5.160893003145319e-07,7.154400615641745e-08,3.728821563226383e-08,-2.5959801860155627e-07,-2.5496119633327114e-08,-1.0270741768174095e-08,2.548430347815293e-07,-6.383201495434483e-07,-4.476537772760136e-08,1.5161155412601705e-07,8.554585898887015e-10,9.60793113335902e-08,6.41040969641173e-09,-1.680319352693231e-08,4.5913426826386015e-08,4.6691022968538997e-07,2.6949487316112013e-07,7.586573095367422e-08,9.799841791374749e-09,1.7975243584565358e-07,-7.5831582459276e-08,1.0639584312878975e-08,-4.34217508882183e-08,-1.7391013291970814e-07,2.6463996618994153e-07,-6.82413034761743e-08,1.5903691140276358e-08,5.691739109666063e-09,4.604012550166412e-08,1.9602399940342637e-09,-3.947177901862895e-08,-1.0790128726514796e-07,4.779042986527716e-08
9108,7.676426321297716e-09,-6.977643352000099e-08,1.0220502736046969e-06,3.071750203768535e-07,4.842436950032816e-07,7.622351404281784e-08,-2.2926639455021856e-08,-1.969087558487979e-07,-1.4607503544541742e-07,-3.296687888623377e-09,-7.035365949067199e-09,1.922451580564405e-07,-2.4870969355157674e-08,-4.78292349723721e-09,-3.763280498483108e-08,-8.544884622097015e-08,-1.0698568075830257e-09,1.0112610956235456e-09,1.477911913146503e-07,4.3149474853027627e-07,6.61513380085404e-07,-1.6744403791030954e-10,2.0394082336376617e-07,1.3176274175438011e-08,3.044920352601356e-08,2.032151678576863e-07,-3.9932764290522336e-07,8.481845725336332e-08,-3.2514857593927927e-07,-8.985283784569177e-08,-2.8257879118131872e-08,3.319776927677177e-10,-3.5593790623053276e-08,7.153061839438133e-08,-2.6791996788239373e-07,1.5372953688108851e-07,-3.295845817774202e-07
9109,7.714261300858944e-09,-8.397172981250683e-08,9.625845511133197e-07,4.680825319762942e-07,5.97191392444124e-07,1.6965631706020181e-07,-2.3722338179704618e-08,-4.167402706419768e-07,-7.091264706102392e-08,7.819423141574496e-09,6.792640003064184e-08,-2.4455211435758925e-07,-8.307785416637042e-09,-2.238802456607638e-08,2.0890729501847068e-08,-7.674486065923093e-09,1.4115551797084028e-08,-4.974814752491929e-10,1.1494616046546589e-07,5.289774465684374e-07,5.043536657467564e-07,4.61939877519882e-08,1.5490280929952643e-07,7.907239099342461e-08,-6.019273617616314e-08,8.75532471885638e-08,-3.2075234533592966e-07,-2.0067382138226793e-07,5.994737148284847e-07,-2.836944380153128e-08,5.867526245634854e-09,4.2724423109617715e-10,-3.5561776409597855e-08,1.0996785325309002e-07,-2.469784036899592e-07,-1.4698268690454562e-07,-1.3192766346041001e-08
9110,4.502556597185132e-09,-4.1137682273978894e-08,6.019267796849088e-07,1.8289021681997526e-07,2.7901861661425615e-07,9.364370877544736e-08,2.0622004133970452e-08,-2.1351307320103286e-07,-4.8982328735260875e-08,1.1424999684092491e-08,-1.2036277136455342e-07,8.476936879261842e-08,1.4262429128091987e-08,1.2767850421401602e-08,-8.766267759096618e-09,-3.5374541766895286e-08,-3.4148494398230735e-11,-5.3390006845181635e-09,2.5376289462049513e-07,2.5726777190962486e-07,4.035735037177895e-07,2.4921998071222976e-08,5.6625188638756485e-08,-4.785562244557902e-08,1.667921120919313e-08,-4.076107870792008e-08,-2.238098143909884e-07,-4.412043684467581e-08,-2.887947872901978e-07,1.556492255381491e-08,-8.438752653728484e-09,-2.471691307951839e-09,-1.6280876783021647e-08,-4.171859472993939e-08,-1.8170045223088013e-07,-5.645095370711631e-08,-1.7450055262695552e-07
9111,5.7412156214027565e-09,-6.498439082255906e-08,6.573858748500394e-07,2.8870999813079834e-07,4.1107899354143754e-07,1.9853449581812982e-07,2.390200582649494e-08,-2.9543298296628577e-07,-6.37996708974235e-08,-1.9460761298699795e-09,7.019630478071696e-08,-1.6428355593225917e-07,-3.5436823964108115e-08,-3.497543123859564e-08,-8.832236441454373e-09,-5.9539452195142964e-08,8.320397076490784e-09,-3.0947073052326837e-09,8.755479939285627e-08,3.49793699570045e-07,2.8456580669929875e-07,6.215220006787047e-09,1.0837412749726772e-07,2.1857752775171317e-08,-5.5388469869931557e-08,8.531729690730066e-08,-1.632257287080241e-07,-1.3247578560064235e-07,-1.0552971313400631e-07,-8.65553738549583e-08,-5.480833351584624e-09,-1.9707173730174805e-09,2.5284243747603536e-08,6.142964897062854e-08,-1.1189297462506585e-07,-8.986312119912488e-08,-2.6264266731827544e-08
9112,5.182228051159252e-09,-6.134427773457874e-08,7.651911194746585e-07,3.1768150317169826e-07,4.632625496014613e-07,2.3953286775699493e-07,2.7429972154407432e-08,-3.286107676103299e-07,-7.47869489714366e-08,1.1810916475960345e-08,8.802705754841604e-08,-2.8209139903386215e-07,-9.498714158960557e-09,-2.4014540637572624e-08,-2.8135449004685162e-08,5.1299769741806486e-08,4.020791190374624e-09,-5.445908755040158e-09,1.1063180863853511e-07,4.413172913094239e-07,3.4105265513061973e-07,1.7331525062553102e-08,1.1979000798119163e-07,5.2929584247383574e-08,-5.7538854889594794e-08,3.827735781710816e-09,-1.9807446127137777e-07,-9.325643380483715e-08,1.800446383033951e-07,-1.0924394397685275e-07,2.9035921519073604e-09,4.457736698343922e-09,7.145397830754447e-08,-8.869295318941645e-09,-1.5547266229990758e-07,-5.320723478989672e-08,-3.9891262228280846e-08
9113,5.388283170740885e-09,-5.172837215159081e-08,6.709414689491113e-07,2.826909379412962e-07,4.4421777905276436e-07,2.644028669843659e-07,6.599196543294733e-08,-2.475426299497485e-07,-3.6115913341413834e-08,4.462199285689295e-09,-1.0026580033203256e-07,2.8578700342519895e-07,-7.625591630782523e-09,4.985990623632633e-08,-1.3895914889898095e-08,-4.766198496026488e-08,-2.591017012741325e-09,-1.3304525054990522e-08,2.689430645356706e-07,2.6274899331229167e-07,5.538858628521464e-07,5.394802428781914e-08,4.9519779471068316e-08,-3.493216354397462e-08,9.261808979014556e-08,-1.381772259866033e-08,-1.2373668141664592e-07,-7.340180066723895e-08,-7.402563157180678e-07,9.736783492033755e-09,-1.3970420695846373e-08,-5.619561610120353e-09,-2.302248807003679e-08,-3.6949447045712035e-08,-1.1576824666306646e-07,-6.14335294813055e-08,-3.7385829879593236e-07
9114,5.821348168015145e-09,-4.245550371704028e-08,7.347056331733761e-07,1.983761709804423e-07,4.3583878626424183e-07,2.453189032772931e-07,1.8783612176768705e-08,-2.065805407861883e-07,-2.124540818229731e-08,4.268231956907438e-08,-1.5410206591092023e-07,-1.3039971236141344e-07,4.071431855375846e-09,-4.342524334786732e-08,-5.4441625252517854e-09,-1.1513863379737093e-08,5.222391337213397e-09,-9.694679950695336e-09,2.714770380407268e-07,3.0257331673055454e-07,3.0633818823836605e-07,2.5117381786325492e-08,9.040736282866218e-08,-3.148355366043793e-08,-2.399901859452142e-09,-2.8824627709910015e-08,-1.5065636641030996e-07,3.0731704706881955e-09,-3.387940038615837e-07,2.829008735713741e-08,-2.304033841938214e-08,-1.5469656015522591e-09,2.718685815715783e-09,-1.5147961676097627e-08,-2.2284764175610974e-07,8.974263134107086e-09,-8.070453380542234e-08
9115,6.0782379781300416e-09,-5.38554741069754e-08,6.304826820269422e-07,2.455655097340472e-07,4.2230162459112945e-07,3.106791215638551e-07,4.794875470300082e-08,-3.485719207674041e-07,1.9790604710398217e-09,-1.37849322830406e-08,3.948633093389346e-08,5.6918749275312645e-08,1.1797140662896284e-08,-2.5903961310785467e-08,5.384014608963694e-09,-5.315717620185303e-09,-3.550279264693569e-09,-7.295088532074583e-08,1.5756522770970336e-07,2.709617062161323e-07,5.640607560053598e-07,8.701909488687334e-08,-8.927289551742762e-08,1.3047635244857556e-08,-4.237517714489585e-09,-6.925023626535914e-08,1.037175146242084e-07,-7.975361465170927e-08,-7.848243694753004e-07,-5.6603069727525525e-09,-3.99576189618111e-09,-5.449207189157142e-09,4.92875309039925e-08,-4.693341907111405e-08,2.0113075152077837e-08,-3.992114216086574e-08,-2.1834954774623385e-07
9116,3.076934566100511e-07,-5.235507463417921e-08,1.0273820953443488e-06,3.477455660079902e-07,-6.202652972812179e-07,4.3758676232148844e-07,-5.7857444820254116e-08,-2.7545048700032565e-07,4.34850032132901e-09,-1.3480312190923173e-08,4.876628130053878e-07,-7.764762267470411e-07,-8.969897559531349e-08,1.5597906895020892e-08,-1.1576727653582185e-08,4.3922530797602544e-08,3.554547826687601e-10,-9.634978293129133e-08,-1.3282697182153392e-07,5.558979076643561e-07,1.0857397379973367e-07,-7.392062495148253e-08,-1.7472348796822228e-07,1.9550226473556972e-07,-1.6465647301324533e-07,1.0126619599759073e-07,1.940627892811898e-07,-3.268971340730678e-07,5.378383987893748e-07,2.6360115346806337e-08,1.9420986063763943e-08,2.934170576429293e-08,-5.311662486442761e-08,-4.4733363514145936e-08,1.6405499385050898e-07,-1.442946571235429e-07,1.4288797198487306e-07
9117,2.6307852628330687e-06,-2.147430010760737e-07,3.87281412258743e-06,1.4134451824550675e-06,-2.0521308761089953e-06,2.5818184561406964e-06,-5.630493008841861e-07,-4.4255362202722085e-07,4.262120152510801e-08,-6.680784281345028e-08,-1.0122426707918778e-06,-3.47706954926252e-06,8.466752478852608e-07,1.1035124771295098e-07,-9.602401405571157e-08,-8.301790027568665e-08,-5.1221383425072816e-08,-1.5673761178428963e-06,1.4704789888734468e-06,2.345378937510192e-06,1.324198868436144e-06,-1.7813212859136337e-07,-2.4742524450027946e-07,-1.93147182775013e-07,-9.033308985331983e-07,2.6745430659504984e-07,1.2885742277528095e-06,2.6032406215851952e-08,5.103636649437225e-06,3.601765880981785e-07,-1.0084865304340381e-08,4.337305047862784e-08,1.1697295121843596e-07,-8.495122892781962e-07,-3.8681066750238916e-07,3.7502419824444185e-08,2.3159136374791335e-06
9118,1.6569547976058325e-07,-9.108703428261824e-08,6.95130050492774e-07,-6.553051449979512e-07,-5.862266213322434e-07,4.77897119708339e-07,1.8813686134921785e-08,1.1757540050894094e-07,-3.760273102669607e-08,-1.5522042910257974e-10,-1.2031892159333627e-07,2.807656225437883e-07,-2.6647079115128525e-08,-6.297156990813088e-08,-5.297867270749601e-09,2.198095899076426e-08,-4.886533133696431e-09,-1.6967183910310846e-07,5.538782958562161e-07,3.6334463705618524e-07,8.400426789497285e-07,-1.728804393981612e-07,6.938430791098131e-08,-1.3523579885598401e-08,-6.503134500237921e-08,3.3748995823162253e-07,-8.364479678373482e-08,2.655375283212048e-08,-2.5206478312608544e-07,-1.5068217180603534e-08,-2.486243223125996e-09,-1.369626261290997e-09,4.954054020346657e-09,4.28216299042243e-08,-2.2823301454385193e-07,7.995792354139412e-09,-2.062815474346085e-07
9119,4.176096990704977e-07,-2.1105942626795842e-07,9.694928303360629e-07,-1.074678536194062e-06,-4.923681262880737e-07,5.926422697181828e-07,2.807258473089428e-08,3.7412877039366964e-07,3.1408465777839314e-08,-1.197758441172442e-08,-1.0077666956931786e-07,-7.210687423748249e-08,1.398881431668686e-07,-3.867138487597321e-07,-6.748266362894267e-08,-3.957907514026924e-08,-4.1194919807214084e-08,-3.477799085279566e-07,6.506475619971955e-07,7.92311814924053e-07,6.974352678904757e-07,-2.327935847764185e-07,-5.044295297313928e-08,1.9711636317249127e-08,-3.63936997018753e-07,3.110050844649669e-07,7.925943161050479e-08,-8.6058086405205e-09,1.033966933997969e-06,-6.580841727551617e-08,-3.4711168457413874e-10,2.041148642756748e-09,-2.455470773075636e-08,-3.354061239711119e-08,-1.3514809931318832e-07,1.7224422966462927e-08,1.7035461496559524e-07
9120,1.75545574165859e-07,-7.129274308680404e-08,5.286588566377781e-07,-4.5212528978789144e-07,-3.682247673471798e-07,6.105153200527343e-07,1.8063583411244536e-08,1.0762945748866834e-07,1.800440562265279e-08,2.2945459932406883e-09,-5.9610465541207304e-09,-2.929036660740527e-07,1.2926349882035436e-07,-6.445043254641872e-08,1.6038150837034894e-08,-1.7676308440688533e-08,3.081513568782817e-09,-1.262359243507078e-07,3.539761140320976e-07,3.3350234540802207e-07,2.4205112519359444e-07,-1.2539792805911845e-07,2.3782874147111003e-08,6.133205412577102e-08,-1.640732322508642e-07,-1.5987704197547643e-08,7.123841593683859e-09,-4.9419274243248244e-08,4.804704803973032e-07,1.5746918506953585e-08,-1.5950839345465924e-09,2.21577162544294e-09,-4.6751423118011514e-08,-5.258887540547522e-08,-9.462353773412125e-08,-2.3419270291915803e-08,8.178525604307073e-08
9121,8.944868265341448e-08,-6.309011951091869e-08,5.128836104024959e-07,-3.0621032540996797e-07,-2.8663120853404856e-07,4.979828372597485e-07,1.5292898751749034e-08,7.153372280302049e-08,2.197280991820168e-08,-2.5158903251085857e-08,3.298434118431627e-08,-1.8275653322518223e-08,-4.179504079122615e-08,-5.5837638986600165e-08,-9.32350909956982e-09,-3.596263316770395e-08,8.27208471800055e-09,-1.429820743699912e-07,1.8391273139665596e-07,2.822279930114551e-07,2.59926891885721e-07,-4.705837151654958e-08,-4.4659827835894006e-08,1.4816760085566497e-08,-1.2190643853193447e-07,4.464275358867682e-08,1.3587181456389355e-07,-2.569053322076942e-08,-4.195532528683789e-07,8.441080960149122e-09,8.228622997829421e-10,-1.5374583502473192e-09,-2.3880663017446352e-09,-3.987399395556776e-08,1.2239208444953038e-07,-2.179003786293484e-08,2.2745613629344616e-09
9122,8.595564092199225e-08,-6.30076586579218e-08,5.434538858632138e-07,-4.14115493185811e-07,-2.881234589343183e-07,5.005643470212391e-07,2.3302466919060925e-08,5.6198720509824614e-08,2.160202711821253e-08,-2.258146802584041e-08,2.476852387192684e-08,1.0577243907997499e-07,-1.6644286612684807e-08,-5.1962172923013306e-08,-7.801378766697105e-09,-6.30852688724731e-08,-8.054970142749225e-09,-1.674805146952629e-07,2.8872920665892217e-07,3.2641886112588824e-07,3.7914316635576415e-07,-6.050240093218593e-08,-5.1094490724298804e-08,1.12585257738966e-08,-6.895434732238235e-08,8.86308650206088e-10,7.29656312614701e-08,-1.870968844741655e-08,-2.5317325101546626e-07,1.9326883678627733e-08,5.661665151494913e-09,1.8240340675234935e-09,3.5912962630435214e-08,-6.900809239598659e-08,4.73744391153285e-08,-3.711844328791481e-08,-1.198020375644131e-07
9123,9.306570670255783e-08,-5.580465464541225e-08,4.019791958853349e-07,-2.2651414231706206e-07,-1.941764882454778e-07,3.8779146658874135e-07,7.179332897076466e-09,5.537644028665587e-08,-1.5124096535114432e-08,1.89167136947126e-08,-7.874662211786292e-08,7.01518729329037e-08,-3.922342633206844e-08,-1.5456462278928163e-08,-1.7016233565884276e-08,-6.719880426956683e-09,-5.802721716451278e-09,-3.9720907807335705e-08,2.38617261250782e-07,2.1706451661881025e-07,2.450703565652367e-07,-8.916288303830262e-08,5.01994509250063e-08,-1.015141606327619e-08,-1.3286674705627102e-08,1.500267535448132e-07,-7.543130777774795e-08,-2.4653078677760114e-08,-4.3328987279287503e-07,1.6310562690110646e-08,-1.1171990384853333e-09,-2.6866716022422876e-09,-1.409537314126383e-08,8.473095173658756e-09,-7.92553570742235e-08,-1.1496207056014134e-08,-1.2765832555788862e-07
9124,1.7315808994076469e-07,-7.759294627857679e-08,6.591689695293264e-07,-4.622241249308279e-07,-3.2968334077550606e-07,6.110294877241547e-07,3.2119375343122626e-08,1.2717403781932422e-08,-6.368015116697548e-08,3.8873986341055596e-08,-1.247273758053852e-07,2.6239392658075926e-07,1.8569796035688573e-08,7.027604927930103e-10,-3.725290300124357e-11,-4.6883554508277137e-08,-6.1409082263708115e-09,-6.190151907507002e-08,3.9935150804617045e-07,3.7033498908084305e-07,6.183605485906486e-07,-1.408117047200398e-07,1.5516668402901167e-07,-2.2794314039260334e-08,-2.7788143294542843e-08,2.6640967310721044e-07,-2.2633719102799137e-07,-3.65516946961186e-08,-4.7283441138764584e-07,-2.4094867209590563e-08,-6.631792833169196e-10,2.0954757930293869e-10,4.551451032343771e-09,3.269388495632698e-08,-2.2539306276786364e-07,-4.2173778638245844e-08,-1.1129071936009291e-07
9125,9.002765485394615e-08,-5.71649676810207e-08,4.546594573184978e-07,-4.1003222577270956e-07,-2.2744740514707025e-07,5.755245607967641e-07,4.3056982879848917e-08,4.9197309029587466e-08,-1.878555243255894e-09,-2.1589415458376858e-08,5.4395641200231416e-08,8.280524828783492e-08,-1.980050001292987e-08,2.120311061546299e-09,-1.0952935554082825e-08,-6.209147007513081e-08,-1.2255817030869831e-08,-1.3260481258232305e-07,1.735261563832149e-07,2.7482979930937507e-07,4.046445246786009e-07,-5.8279450361949037e-08,-9.439342344692212e-10,3.051187377423626e-08,5.702410514633072e-10,1.1626145957661074e-07,1.8136769843598425e-07,-9.730943323423538e-08,-6.393283062304508e-07,-2.1443702280434657e-09,-5.5879354438620236e-11,-3.1864813838940477e-09,-1.170808294166543e-08,5.218898877510161e-09,2.503511495893293e-09,-2.6109434353825185e-08,-1.7643944981197732e-07
9126,1.562904799356587e-07,-6.848965616277096e-08,5.26929118980959e-07,-3.4311359437807836e-07,-1.345487544313225e-07,7.126977046330437e-07,3.252353053538184e-08,5.121963719532059e-08,-4.951279455177026e-08,3.892734336354154e-09,1.4962783704204562e-07,-2.4687033146608233e-08,-3.851988973703885e-09,-6.224630245316931e-08,-1.2544527028998461e-08,3.3288185174305526e-08,8.717567349433882e-09,2.315345530711016e-08,1.119197501492465e-08,2.513513512288675e-07,2.546074877803546e-07,-2.1376530639827035e-07,1.3097111756594249e-08,1.337379217147791e-07,-4.702305886894103e-08,1.849348579223449e-07,-7.509156906357209e-08,-1.6922441621622822e-07,-4.2804361631467846e-07,-5.889315313342084e-08,-5.62324809530142e-09,-3.1544671704205525e-09,-4.9690521943113675e-08,7.261211673419404e-08,-9.64444673930598e-08,-5.433820964150033e-08,-2.482917625457294e-07
9127,6.80585314209436e-08,-1.6678532119840023e-07,2.929849627738212e-07,-1.6371098657446556e-07,-5.940247016648596e-08,-3.2727567789453735e-07,3.0343653634215855e-08,3.4215433212639715e-08,-1.0029762052011856e-08,4.6684484307848995e-09,-5.396354633067157e-08,5.6603457778698026e-08,-1.1283943119190336e-08,-5.631785218891943e-09,-3.1750338772686937e-09,-2.3892304549585675e-08,-6.42670784139233e-09,-2.8397577504345878e-08,1.4591593450558366e-07,1.4121081524835752e-07,1.935889789213737e-07,-3.523600753398195e-08,-8.906975078084468e-08,1.557287760077317e-08,-1.3810543653866378e-08,6.926808661472256e-08,1.3106424982312938e-09,7.971927213156217e-09,-9.641788589453768e-08,-5.429222558977406e-09,5.580756502862778e-09,-2.28115823122264e-09,-5.481803479335182e-09,1.0296159113431692e-08,-3.796691695852353e-08,2.780250118423917e-08,-3.360425277301217e-08
9128,1.0927479403715207e-07,-2.4636858142911016e-07,7.922619503612161e-07,-3.1817064154894315e-07,-7.120426744224159e-08,-9.303256714095513e-07,1.4026940334591325e-07,2.97441147251194e-10,3.602219900739591e-08,-1.0445364750914498e-08,5.871038107819014e-08,-2.1220417693257188e-07,4.8762303777047e-08,6.955311012767013e-08,2.039790463942108e-09,-1.8520358329018535e-07,5.16245684896899e-08,-1.4237496846668108e-07,1.3272879490008028e-07,2.855376806109963e-07,1.759217896809441e-07,-1.1979330641512792e-08,-3.648126342644619e-07,5.131956034647225e-08,-1.1503288988023996e-07,1.0016180264461766e-08,2.3847562260926567e-07,-5.08535110081185e-08,5.898065865039898e-07,5.105646171918747e-08,7.106767346484744e-09,-2.679104606275832e-09,-5.669038121929326e-09,-2.0332537436241563e-07,2.074808192750447e-07,-3.6662289251857806e-08,1.8599656565734726e-07
9129,8.813377159335178e-08,-1.0817699755228648e-07,2.881067727382194e-07,-1.6265257727354404e-07,-2.862245310098728e-08,-1.8342475717271172e-07,5.121459253128874e-08,1.7224616992031108e-08,-5.327747203406781e-09,3.2699123646053505e-09,-6.582704372677286e-09,1.0497635230426429e-07,2.5549282629504003e-09,1.2423649119844225e-08,-8.283532224643975e-09,-2.1654802064102346e-08,8.067581803163139e-10,-5.017015306901752e-08,1.4296791050580883e-07,9.939268541831247e-08,1.6760760142153284e-07,-2.789679759490742e-08,-8.02025897428097e-08,1.547644690916211e-08,-4.1812503087339015e-10,3.115875491253644e-08,1.0680756531661788e-07,-1.7266720533369525e-08,-6.479065632447528e-07,-1.8146238289755395e-08,4.263905187461599e-09,3.977523495735536e-09,2.2964280409123322e-08,1.7772739132534501e-10,9.35474721093322e-09,-5.358209212605874e-09,-6.638389701645302e-08
